track_name,artist_names
Love Yourself,Justin Bieber
Sweet Child O' Mine,Guns N' Roses
Eu Te Seguro - Ao Vivo,"Panda, MJ Records"
Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean"
PUNK ROCKY,A$AP Rocky
Cry,Cigarettes After Sex
Stressed Out,Twenty One Pilots
Only Girl (In The World),Rihanna
Unforgettable,"French Montana, Swae Lee"
Dive,Olivia Dean
Something Just Like This,"The Chainsmokers, Coldplay"
Take Me To Church,Hozier
TU SANCHO,Fuerza Regida
ME POSTOU NO DAILY - FESTA DO BIG G,"MC GP, Mc Lele JP, DJ DAVI DOGDOG, Dj Andrabeat"
Mystical Magical,Benson Boone
Winter Ahead (with PARK HYO SHIN),"V, Park Hyo Shin"
MIENTRAS DUERMES,Junior H
Have You Ever Seen The Rain,Creedence Clearwater Revival
